,0,1
0,一晚嚐盡。川京粵菜,"金公館位於太古康怡廣場，一出地鐵直達廣場再上三樓就到達，十分方便。地方簡潔乾淨，門口位置有京劇壁畫，很有特色。內進有舒適的卡座，旁邊放有自動充水及煮滾的水壺，略卻要找職員添茶的麻煩，十分方便！**茶芥 $13/位****花生小食 $10/碟**




0 likes
        


0 likes
        


0 likes
        










110 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










46 views
0 likes
0 comments




金公館除了主打四川菜，還有粵菜和京菜，三款都是我杯茶。今晚只有二人兩個胃，簡單點了幾款菜式：




0 likes
        


0 likes
        


0 likes
        










3 views
0 likes
0 comments




《白肺湯 $58*2》職員大力推介是餐廳的招牌湯，所以點了兩盅。湯奶白色有微微杏香，湯中有豬朋、雞腳等湯料。




0 likes
        


0 likes
        


0 likes
        










6 views
0 likes
0 comments




《雞絲粉皮$62》麻醬夠惹味，粉皮爽口，雞絲入口份量多。




0 likes
        


0 likes
        


0 likes
        










5 views
0 likes
0 comments




《招牌口水雞$88例牌》口水雞是一道經典的四川涼菜，口感麻辣鮮香，雞肉嫩滑，惹味。




0 likes
        


0 likes
        


0 likes
        










70 views
0 likes
0 comments




有片皮鴨，必試。




0 likes
        


0 likes
        


0 likes
        










1 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










3 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










1 views
0 likes
0 comments




《片皮鴨半隻$238 半隻》半隻份量都足夠3人共享。片皮鴨撇走多餘脂肪後更加突出片皮鴨的香脆口感，再送上醬汁配料就更加美味。




0 likes
        


0 likes
        


0 likes
        










1 views
0 likes
0 comments




《四川擔擔麵$48》麵底份量大，足夠2-3人分享。湯底夠麻醬，是我杯茶，加上麻辣夠開胃，湯質地亦不會太杰，濃稠度剛好。




0 likes
        


0 likes
        


0 likes
        










1 views
0 likes
0 comments




《紅糖糍粑$42》外層有咬口，內裡煙韌好吃，必定要配上黃豆粉及紅糖醬才提味，職員更細心替我添加紅糖醬！環境舒適有私密感，完全不嘈吵，可以舒舒服服跟朋友邊吃邊談，職員們亦好客有禮。"
1,大件夾抵食嘅二人套餐和酸魚！,"昨晚去咗康怡廣場3樓，被一間有齊京、川、粵菜式供應嘅食肆「金公館」的大型京劇畫報吸引住，而且覺得門口post出嚟嘅菜式都幾合胃口，於是入咗去食晚飯。




0 likes
        


0 likes
        


0 likes
        










12 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










37 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










66 views
0 likes
0 comments




老壇子酸菜魚半份（$148）




0 likes
        


0 likes
        


0 likes
        










18 views
0 likes
0 comments




第一次食酸菜魚，半份已經好大盆，兩個人食係食唔晒嘅！唔食得辣可以要求小辣。一上枱賣相已經相當吸引，先嚐一口，湯底濃郁，材料除魚片外，還有勁多配菜如鹹酸菜、辣椒乾、萵筍、芝麻、葱等等，味道又酸又辣，極其醒胃。桂花魚肉片分量比預期多，薄切，肉質好軟滑，味道鮮甜可口，魚油甘香美味。二人套餐（$438）呢個套餐非常之抵食，四百幾蚊有七樣嘢食，好豐富呀！香蔥雞蛋豆乾粒




0 likes
        


0 likes
        


0 likes
        










24 views
0 likes
0 comments




呢款涼菜好香蔥油味，豆干豆味濃，質感爽夾滑。清城山杏汁白肺湯




0 likes
        


0 likes
        


0 likes
        










20 views
0 likes
0 comments




自己唔會整，嫌功夫又多又煩，難得呢個套餐有呢個杏汁白肺湯，當然唔可以錯過。湯底既美味又滋潤，還有淡淡的杏仁香味。雖然個盅唔係太大，但係煲湯料都好多，有白菜、豬肺、豬肉、雞腳等，認真足料。烤北京填鴨（半隻）




0 likes
        


0 likes
        


0 likes
        










16 views
0 likes
0 comments




皮脆，肉嫩，最好的是上枱前啲肥油已經被切走，所以唔會食到成口油。摩摩皮夠薄身，而且每片都隔有一張紙，唔拍黐埋一齊， 而且仲可保存摩摩皮嘅熱度。配料有青瓜、大蒜、萵筍，仲有哈密瓜條。醬汁也有三四款之多。咕嚕蝦球




0 likes
        


0 likes
        


0 likes
        










17 views
0 likes
0 comments




蝦球大大隻，二人份量都有七至八隻。配菜除了三色椒及洋蔥外，還有新鮮菠蘿。蝦肉爽口兼彈牙。靈芝菇炒萵筍絲




0 likes
        


0 likes
        


0 likes
        










14 views
0 likes
0 comments




萵筍刨成麵條狀，份量不少。萵筍好爽脆，用嚟炒靈芝菇，好味得嚟又健康。京式小籠包




0 likes
        


0 likes
        


0 likes
        










8 views
0 likes
0 comments




一啖一口，每人兩隻剛剛好。豬肉餡料鮮甜又爆汁，如果皮底薄返少少就更好。杞子桂花糕




0 likes
        


0 likes
        


0 likes
        










5 views
0 likes
0 comments




大大件，杞子和桂花足料，既清甜又冰涼，口感彈牙，吾會大淋身。呢個套餐和酸魚，真係大件夾抵食，唔怪之得雖然昨天是星期四，都好多客人幫襯。"
2,京川菜金公館·小菜小炒推介,"📍金公館📍Jin Gong Guan 🇭🇰香港太古康山道1-2號康怡廣場3樓T4號舖🇭🇰 Shop T4, 3/F, Kornhill Plaza, 1-2 Kornhill Road, Tai Koo, HK🌐太古 🌐將軍澳人均消費: HKD286味道: 👅👅👅👅賣相: 👀👀👀👀👀價格: 💰💰💰💰環境: 🌹🌹🌹🌹服務: 👨🏻性價比: ⭐️⭐️⭐️⭐️回頭率: 🔆🔆🔆🔆最近食得太多日本菜，食一下我第二喜歡的中菜🤣 今天食康怡廣場金公館的京川菜！近年真的有很多什麼館什麼館什麼館的中菜😂地點方便，但人真的超多！




0 likes
        


0 likes
        


0 likes
        











9 views
0 likes
0 comments




📋二人套餐 $438二人餐包括前菜甜品等有七道菜，跟單點相比便宜得多，例如說：我點半隻北京填鴨+兩個湯都$300多，所以我們四人點了一個二人餐比較划算🙊🆗香蔥雞蛋豆乾粒🥢豆乾做佐料食得多，直接當前菜食就未試過坦白說，香蔥我覺得不需要🤣豆乾口感偏硬，咬下去比較實。而豆乾是沒有雞蛋味的，乾脆叫豆乾粒會比較實際🙊




0 likes
        


0 likes
        


0 likes
        







香蔥雞蛋豆乾粒



$438



12 views
0 likes
0 comments




⭐️青城山杏汁白肺湯🥣我自己對杏仁比較抗拒，但杏汁白肺湯工序麻煩，不多餐廳有，所以都要試試！一碗不多，裡面有雞腳，豬肉，菜乾等，杏汁味很淡，但湯清甜，感覺很潤喉潤肺，絕不是味精湯




0 likes
        


0 likes
        


0 likes
        







青城山杏汁白肺湯



$438



6 views
0 likes
0 comments




👎🏻烤北京填鴨🦆食得京川菜當然對北京填鴨有所期待，誰不知真的失望！鴨一共分16片，怎樣都看不出是半隻鴨，皮薄得像豬肉紙一樣，但又硬又不香摩摩皮不錯，配料還可以，但醬料不行，尤其蘇梅醬，又酸又怪鴨肉眼看又乾又瘦，食又無味，口感有點似豬肉乾😂😂😂




0 likes
        


0 likes
        


0 likes
        







烤北京填鴨



$438



6 views
0 likes
0 comments




💯咕嚕蝦球🦐我沒想過咕嚕竟然會有比肉更好味的做法蝦球有差不多十隻，而且大隻！事先拉油，特別香口，加上咕嚕汁酸酸甜甜，蝦球熱辣辣，絕對開胃菜！單點$148，套餐抵食！ 




0 likes
        


0 likes
        


0 likes
        







咕嚕蝦球



$438



4 views
0 likes
0 comments




⭐️靈芝菇炒萵筍絲🥒所謂靈芝菇，其實就是鴻喜菇，可鄰的有三五條🤣🤣🤣菇不理，萵筍絲幼幼，有點像食麵，清清甜甜，可以解解辣👌🏻




0 likes
        


0 likes
        


0 likes
        







靈芝菇炒萵筍絲



$438



7 views
0 likes
0 comments




💯京式小籠包🥟小籠包賣相可真醜，好似骷髏骨頭，瘦得都凹凹的💀不過想不到裡面好多湯，皮也不易破掉，重點是湯仍然是辣口的，而且味道很不錯！




0 likes
        


0 likes
        


0 likes
        







京式小籠包



$438



2 views
0 likes
0 comments




💯杞子桂花糕🍮套餐最後的是杞子桂花糕，桂花糕清甜爽口，而且寄至十分多，滿意四人食二人套餐當然不夠！另外再點其他滿足一下味蕾！⭐️夫妻肺片🐮$68川菜經典當然要試！材料頗多，牛肺牛舌牛肉等到有食到，份量算不錯！但麻辣程度不可忽視！辣還算可以接受，但會越食越麻




0 likes
        


0 likes
        


0 likes
        







夫妻肺片



$68



4 views
0 likes
0 comments




👎🏻老壇子酸菜魚🐟$148作為酸菜魚愛好者，就點了一份細分的試試！魚似是鱸魚，但魚味淡，而且很多小骨湯底比較似麻辣，試了一口湯頂不了裏面有很多萵筍和薯粉，但酸菜十分少，而且選得十分過分，沒有了酸菜魚的靈魂💀確實是失望😔




0 likes
        


0 likes
        


0 likes
        







老壇子酸菜魚



$148



3 views
0 likes
0 comments




🆗乾鍋豬大腸🐷$118以前到大陸必定點的乾鍋豬大腸！一上枱嚇死！因為我冇意識到是乾椒這種🙊豬大腸一片片，而且乾身，應該是有炸過的，好咁又點硬麻辣程度真的有點恐怖！但我覺得十分惹味！若豬大腸沒這麼乾身的話是可以一試的




0 likes
        


0 likes
        


0 likes
        







乾鍋豬大腸



$118



3 views
0 likes
0 comments




💯蜜椒鱔球🐍$98蜜椒鱔球是另一驚喜！ 鱔球微微炸過，加上外層的蜜汁，配搭十分惹味！另外佢豉椒做法亦十分新穎！$98十分抵食！




0 likes
        


0 likes
        


0 likes
        







蜜椒鱔球



$98



3 views
0 likes
0 comments




⭐️炸饅頭🥠$48炸饅頭熱辣辣，裡頭軟熟，不錯




0 likes
        


0 likes
        


0 likes
        







炸饅頭



$48



15 views
0 likes
0 comments




今次評分有點尷尬，因為最期待的北京填鴨和酸菜魚的確十分失望！但其他菜式其實都頗為出色，加上價錢不貴，性價比高，所以餐廳還算是值得一試！不要食北京填鴨和酸菜魚就好了🤣🤣🤣但有件事的確不吐不快:電話訂枱時只可以訂7:00/8:00（其實我發現有人訂到7:30），其他時間都要walk in我訂了8:00，7:30已到，人多的嚇死！店員完全忙到門口一個人都沒有！ 我一直等到8點才有人理我，他是不會按你訂枱時間安排入座，而是訂了枱的人要再拿籌再等，但途中完全沒有人問你是否已訂枱，亦沒有說要等多久，想找人也找不到，十分無助！重點是其實很多人都訂了枱，但他還是會先讓給Walk in拿籌的人！真的要改善一下！"
3,一次過品嚐~京川粵菜式,"位於港鐵太古站A2出口的康怡廣場內有不少食店。   今晚好友約了在廣場三樓的""金公館""晚飯，聽名字頗有品位！   第一次來這個廣埸很有新鮮感！""金公館""的門面令人眼前一亮！京戲人物畫像鏡面作裝飾很有氣派！




0 likes
        


0 likes
        


0 likes
        










17 views
0 likes
0 comments









0 likes
        


0 likes
        


0 likes
        










18 views
0 likes
0 comments




內部裝潢也很清雅，卡位有磨沙玻璃相間各有空間。




0 likes
        


0 likes
        


0 likes
        










16 views
0 likes
0 comments




坐在卡位上感覺舒適！自助加水機非常方便……




0 likes
        


0 likes
        


0 likes
        










17 views
0 likes
0 comments




翻開餐牌不少精緻南北美食選擇，尤其是川式小食非常吸引！價格親民，性價比高！




0 likes
        


0 likes
        


0 likes
        










8 views
0 likes
0 comments




好友建議今晚一於吃齊京川粵菜！先點個川味小食紅油豬耳 $ 52話説小食但份量也不少，豬耳爽口有嚼勁！醬汁麻而少辣很惹味！




0 likes
        


0 likes
        


0 likes
        










6 views
0 likes
0 comments




烤北京填鴨(半隻) $ 238皮很脆，配上醬汁及配料非常香脆美味！稍嫌皮太簿，若有些脂肪可能會便香口！




0 likes
        


0 likes
        


0 likes
        










2 views
0 likes
0 comments




醬汁配搭比一般的特別……桂花，海鮮，芝麻和酸梅等醬汁。由於中間有熱水暖着，摩摩皮非常鬆軟，有溫度！配料除了青瓜，西芹，京葱外還有哈蜜瓜，味道非常之夾！




0 likes
        


0 likes
        


0 likes
        










8 views
0 likes
0 comments




椒塩鮮魷 $ 72外皮夠鬆脆，肉質嫩！




0 likes
        


0 likes
        


0 likes
        










3 views
0 likes
0 comments




翠湖紅燒豆腐 $ 88值得一讚！ 豆腐非常嫩滑！整個菜很爽口！




0 likes
        


0 likes
        


0 likes
        










4 views
0 likes
0 comments




蜜椒鱔球 $ 98嫩滑肥美鱔球啖啖肉，酸甜茨汁醒胃，配菜又爽甜！




0 likes
        


0 likes
        


0 likes
        










1 views
0 likes
0 comments




好味道！這頓晚飯太滿足了！埋單前還買了現金卷即時使用，多一重着數！




0 likes
        


0 likes
        


0 likes
        










3 views
0 likes
0 comments"
4,❤飲食❤ 美味烤北京填鴨 ~ 金公館,"難得可以約到好朋友食晚飯, 就約她公司附近食晚飯就來到太古金公館。




0 likes
        


0 likes
        


0 likes
        










5 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










13 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










9 views
0 likes
0 comments





店以中式現代裝修,地方寬闊有多張圓台及卡位座選擇。**點了二人套餐 $438 , 有七款食物




0 likes
        


0 likes
        


0 likes
        










72 views
0 likes
0 comments





*好有效率, 好快送上來




0 likes
        


0 likes
        


0 likes
        










7 views
0 likes
0 comments





**【香蔥雞蛋豆乾粒】




0 likes
        


0 likes
        


0 likes
        










15 views
0 likes
0 comments





雞蛋豆乾粒是由雞蛋及豆而製成,口感及味道似豆腐乾,具有淡淡雞蛋香配香蔥,是不錯前菜。 **【青城山杏汁白肺湯】




0 likes
        


0 likes
        


0 likes
        










4 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










2 views
0 likes
0 comments





 這的豬肺湯具滋潤功效,並加入了杏汁,入口更清甜滑溜美味,一定要趁熱飲呢!**【烤北京填鴨】 (半隻)




0 likes
        


0 likes
        


0 likes
        










5 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










2 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










9 views
0 likes
0 comments





這鴨皮帶鬆化帶點油份不會過肥,皮又帶點脆,真的酥香撲鼻,十分甘香,附有嫩鴨肉,可配京蔥,是配以青瓜和哈蜜瓜(好特別)帶點爽脆,還點特製多款醬,把好薄的薄餅捲起來,忍不住一口接一口吃,回味無窮。**【靈芝菇炒萵荀絲】




0 likes
        


0 likes
        


0 likes
        










6 views
0 likes
0 comments




萵荀絲炒得不油膩,其入口爽又鮮,配上靈芝菇更多鮮味。**【咕嚕蝦球】




0 likes
        


0 likes
        


0 likes
        










2 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










2 views
0 likes
0 comments





看似簡單咕嚕蝦球,想不到入口無比外脆內軟,加上醬汁甜甜酸酸,令人胃口全開,一陣子已經食左大半碟。**【京式小籠包】




0 likes
        


0 likes
        


0 likes
        










4 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










4 views
0 likes
0 comments





小籠肉餡肥瘦比例適中,外皮不算厚,可惜湯汁不是很多,稍為蒸得過耐。**另點【酥炸桶蠔】 $188




0 likes
        


0 likes
        


0 likes
        










1 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










2 views
0 likes
0 comments





炸蠔外皮炸漿簿身香脆可口,有濃濃蠔味,是佐酒不錯小食及小菜。**【杞子桂花糕】




0 likes
        


0 likes
        


0 likes
        










6 views
0 likes
0 comments





桂花糕軟滑、彈牙口感,味道清清甜的桂花清香味。"
5,京川粵菜,"來到金公館食扁皮鴨， 金公館位置很方便，位於太古地鐵站上蓋。椒鹽魷魚椒鹽魷魚炸到卜卜脆，炸的時間剛好，不會油膩。



    



0 likes
        


0 likes
        


0 likes
        










0 views
0 likes
0 comments




北京填鴨廚師切得很漂亮，鴨皮沒有一點脂肪，摩摩皮伴隨着是四種醬汁（最特別是桂花醬）及四種配菜（ 哈密瓜，葱，青瓜，西芹）。反而用桂花醬配北京填鴨有驚喜。




0 likes
        


0 likes
        


0 likes
        










0 views
0 likes
0 comments









0 likes
        


0 likes
        


0 likes
        










0 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










0 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










0 views
0 likes
0 comments





二食- 豆腐鴨湯材料有鴨，豆腐及菜。濃郁的鴨味，及份量很充足。



    



0 likes
        


0 likes
        


0 likes
        










0 views
0 likes
0 comments




蜜汁叉燒一上碟，見到蜜汁叉燒肥瘦均勻，咬落去唔會老， 有口感。



    



0 likes
        


0 likes
        


0 likes
        










0 views
0 likes
0 comments




 擂沙湯丸一共有3粒，擺碟精緻，咬落去，芝麻汁流出來，甜度適中。



    



0 likes
        


0 likes
        


0 likes
        










0 views
0 likes
0 comments




紅糖糍粑外脆內軟有口感。



    



0 likes
        


0 likes
        


0 likes
        










0 views
0 likes
0 comments"
6,茶聚,"約咗好耐冇見嘅舊同事係太古城康怡廣場嘅金公館飲茶。《金公館》個名聽落好似上海D高級別墅😂原來佢係一家集粵、京、川、滬嘅菜館。店內有大大張壁劃相當揚眼！我只知道佢哋係“大花面”🤭,吾知你哋又識吾識京川粵劇面相點分同有咩特徵呢?坐落一陣,叫咗壺香片。估吾到呢度採用自動加水同煲水,自己㩒個制就搞掂,相當方便！我哋點咗幾個點心蘿蔔千絲酥外皮一層層酥脆,內裡蘿蔔蓉鮮甜碧綠鮮蝦腸腸粉吾太厚,入口算滑,裡面d蝦都幾大隻爽口黑椒金錢肚金錢肚軟腍,有d蘿蔔係底杏片原籠馬拉糕馬拉糕鬆軟,上面有好多杏片蠔皇鮮竹卷外皮軟糯,內餡多汁呢度都幾受歡迎,午市同下午茶都幾多人等位！




0 likes
        


0 likes
        


0 likes
        










18 views
0 likes
0 comments









0 likes
        


0 likes
        


0 likes
        










13 views
0 likes
0 comments









0 likes
        


0 likes
        


0 likes
        










13 views
0 likes
0 comments









0 likes
        


0 likes
        


0 likes
        










8 views
0 likes
0 comments









0 likes
        


0 likes
        


0 likes
        










6 views
0 likes
0 comments









0 likes
        


0 likes
        


0 likes
        










3 views
0 likes
0 comments









0 likes
        


0 likes
        


0 likes
        










3 views
0 likes
0 comments









0 likes
        


0 likes
        


0 likes
        










2 views
0 likes
0 comments









0 likes
        


0 likes
        


0 likes
        










2 views
0 likes
0 comments









0 likes
        


0 likes
        


0 likes
        










1 views
0 likes
0 comments"
7,行政有問題，對食客講大話！,"七點十五分，叫了一個餐內有小籠包一客，八點幾其他嘢上齊，吹了小籠三次也未到！八點三左右，經理同我地講小籠包賣晒（隔離枱也有不滿），要求轉其他食，咁早無小籠包之前D員工又唔覆就一定不滿，最後我估逼佢也無用，結果轉了其他食物！八點半，見到對面見隔離枱（他們起碼係八點入座）上小籠包！即時叫經理嚟，佢話「你地話轉其他食物ok」,我話「你騙我左先」結果說幾句唔好意思，笑一笑就走開！原來早到唔一定有得你跟餐的食物，遲到就會有！"
8,京川粵菜北京填鴨,"今晚嚟到太古康怡廣場嘅金公館，一次過嘗試吓京川粵菜。頭盤叫咗個雞絲粉皮，胡麻鮮淮山，仲有我最鍾意嘅椒鹽九肚魚，質素都唔錯，特別係椒鹽九肚魚，炸粉唔會太厚，九肚魚味突出。之後再叫咗個靈芝菇萵筍絲，我從來未食過呢一種菜，感覺好新鮮。然後，就係今晚嘅主角烤北京填鴨半隻，北京填鴨皮脆，肉厚，唔會太多肥膏，正合我心意。特別鍾意有桂花嘅醬，甜甜地，好適合。今日特別想食甜品，好彩中餐廳嘅甜品都唔錯，我哋叫咗雷沙湯丸，入面熱辣辣嘅芝麻超級好味，又叫咗杞子桂花糕同桂花冰粉，特別適合而家越嚟越熱嘅天氣。



    



0 likes
        


0 likes
        


0 likes
        










2 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










1 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










5 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










5 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










6 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










1 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










1 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










3 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










1 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










2 views
0 likes
0 comments"
9,出色片皮鴨,"今日陪屋企人去開太古食飯，當中有家人強烈推介呢間金公館作晚餐，於是去試一試先。餐廳座位都相當多，即使假日時，相信亦不用等太久。先點了一份椒鹽酥肉，一上枱已相當香，咬一口，肉質軟身，滲出淡淡的肉汁，證明師傅控制燶侯恰當，發揮出肉最好的質素，最加上旁邊有點點辣口的佐料，可為味蕾帶上點點的刺激，作開胃菜相當一流。然後是今天的重點美食片皮鴨，有片胸皮、胸肉及腿肉，而且份量亦較多，鴨油香濃厚，鴨肉則較結實，配上青瓜、黃麵醬與薄餅進食，食到最原始的風味。然後是金銀蒸娃娃菜，不得不說，粉絲完全吸收了香味，淡淡都食得出香味，配上娃娃菜的咬口口感，相當出色。



    



0 likes
        


0 likes
        


0 likes
        










8 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










6 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










2 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










3 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










2 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










1 views
0 likes
0 comments








0 likes
        


0 likes
        


0 likes
        










1 views
0 likes
0 comments"
10,【金公館】正宗四川師傅風味　太古中菜食出不一樣的片皮鴨,"0 likes
        


0 likes
        


0 likes
        










2 views
0 likes
0 comments




好耐無約過朋友飯聚啦，難得晚市可以堂食，大家返工又係港島區就相約3個好朋友聚下舊。同事就介紹了一間由正宗四川師傅主理的太古中菜─金公館，唔單只環境舒適，而且裝修富有中國特色，一於就揀佢啦！金公館依間太古中菜主打片皮鴨、酸菜魚，Venus 其中一個好朋友超鐘情於中國文化，連口味都非常中化，另一個就好鐘意食魚，最後嗰個就話想食辣，完全符合哂3位朋友所有要求。金公館中菜位於太古康怡廣場3樓，一出地鐵站搭電梯就到，非常方便就腳。一到門口已經見到好搶眼戲曲造型裝飾長鏡十分架勢！老壇子酸菜魚大家都好肚餓的關係，所以我哋叫咗好多餸，好似Venus其中一個朋友仔剛坐低就即刻叫咗老壇子酸菜魚。



    



0 likes
        


0 likes
        


0 likes
        










1 views
0 likes
0 comments





Venus 本身怕腥、唔鐘意食魚，但見到隔離枱食到好滋味咁都想試試。令人驚喜係太古金公館中菜嘅酸菜魚唔腥之餘魚肉仲好滑，朋友仔都估唔到平時無點食魚嘅我會食完又食。



    



0 likes
        


0 likes
        


0 likes
        










0 views
0 likes
0 comments





真係要大讚太古金公館中菜的酸菜，用咗無筋酸菜超爽脆，聽介紹先知原來醃制方法都好講究！係用四川成都傳統老壇古法醃制酸菜，酸菜用上原汁母水、秘制香料，將新鮮菜喺恒溫恒濕環境下醃20-30日。食落超入味，完全都唔輸蝕俾魚肉㗎！差啲唔記得仲有我最愛嘅薯粉做底，加埋酸菜湯底一齊食，酸酸辣辣超開胃！



    



0 likes
        


0 likes
        


0 likes
        










1 views
0 likes
0 comments





薯粉好Q彈，吸收咗酸爽湯汁超好味！麻辣水煮滑牛肉再嚟又係大大碗上枱的麻辣水煮滑牛肉，本來以為湯底紅噹噹會辣到頂唔順，但食落又發覺其實唔係太辣，而且多咗香、麻味道，令上愈食愈上癮。牛肉火侯煮得剛好，肉質食落嫩滑唔會太老，而且份量非常之多，抵食！



    



0 likes
        


0 likes
        


0 likes
        










3 views
0 likes
0 comments





麻辣水煮滑牛肉同樣地有薯粉做底，我一個人差唔多食哂2邊嘅薯粉。麻辣水煮滑牛肉絕對係「辣」朋友嚟金公館太古中菜必點。食咗兩道大菜後需要「休息」一下，叫咗蒜泥白玉同老火炖湯。嚟金公館太古中菜嘅蒜泥白玉比平日食嘅大塊好多，雖然係常見菜式，但中間夾青瓜食法都係第一次。不過唔好睇小青瓜夾肉片嘅配搭，一方面將口感提升一級，加倍爽口，另一方面又中和返蒜泥白玉本身嘅油膩感，更突出蒜香味道。 




0 likes
        


0 likes
        


0 likes
        










1 views
0 likes
0 comments





超多蒜，好香口。如果你係蒜泥白玉愛好者，嚟金公館太古中菜一定要試！Venus 好鐘意飲湯，不過講到豬肺湯就好少飲啦，因為工序麻煩到媽媽唔會想煲，即使食中菜餐廳都少見有，不過金公館太古中菜就有青城山杏汁炖豬肺湯啦。唔好以為炖湯就一定好厚重負擔，好似呢碗杏汁炖豬肺湯反而好清新，飲唔到一絲膻味證明豬肺處理得好乾淨，加上杏汁味好濃、好香，完全將前面食嘅濃味麻辣帶走。



    



0 likes
        


0 likes
        


0 likes
        










7 views
0 likes
0 comments





實在太好飲啦，飲完成碗都唔夠喉！話晒金公館太古中菜除咗酸菜魚外，片皮鴨都好出名，無理由唔叫。所以壓軸登場嘅就係大家最期待烤北京填鴨！金公館嘅片皮鴨唔同其地方，無咁油膩，因為佢哋特登切走鴨皮中間多餘油脂，令到成塊鴨片下無太多脂肪，對於注重健康嘅香港人好友善。



    



0 likes
        


0 likes
        


0 likes
        










2 views
0 likes
0 comments





食片皮鴨精粹在於皮，皮要烤得恰到好處其實好難，過火會太乾、未夠火候又唔夠脆，不過金公館太古中菜就做得唔錯，片皮鴨以傳統烤鴨方法配上獨特醬料烤製出香脆惹味口感，令人無辦法唔鍾意食。



    



0 likes
        


0 likes
        


0 likes
        










4 views
0 likes
0 comments





單食一樣好正，加上配菜同醬料包食又係另一種滋味。即蒸摩摩皮薄軟糯，夾入香脆鴨皮、嫩滑鴨肉已經流哂口水！金公館太古中菜喺配菜及醬料選擇上提供8種款式口味：烤鴨醬、冰梅醬、胡麻醬、桂花蜜醬、京蔥、西芹絲、青瓜條、蜜瓜條，令片皮鴨風味變化更上一層樓。



    



0 likes
        


0 likes
        


0 likes
        










2 views
0 likes
0 comments





隨自己口味配搭，Venus 當然要一次試齊所有配菜同醬料啦！同大家用文字講解下我嘅味蕾感受：




0 likes
        


0 likes
        


0 likes
        










2 views
0 likes
0 comments





一入口有熱辣辣軟糯摩摩皮、之後帶頭當然有香脆得嚟又唔會太油膩香脆鴨皮，之後有嫩滑鴨肉夾集解膩青瓜、爽口西芹絲、清新京蔥、香甜蜜瓜、帶點微辣香口芝麻醬、甜絲絲桂花蜜醬、酸甜冰梅醬、惹味烤鴨醬……就係咁口中充斥多層次味道幸福感覺，差啲一個人成哂全碟片皮鴨，實在太好味！食完絕對翻尋味！享受咁豐富好味嘅盛宴，以為已經可以滿足，不過朋友居然覺得唔夠完美，話一場嚟到金公館太古中菜叫多2碗擔擔麵試下，咁2人share一碗麵啦。



    



0 likes
        


0 likes
        


0 likes
        










4 views
0 likes
0 comments





都真係幾大碗，細食或者好似我哋前面食咗咁多，真係可以2人share一碗。 湯底有少許麻辣味，麵線爽口彈牙，間唔中食到青蔥同芝麻令到成碗味道唔再單調。金公館：太古康山道1-2號康怡廣場3樓T4號舖"
